job_skills,count
"Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, High school diploma/GED, Restaurant leadership experience, Food Handlers Certification",169
"Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, High school diploma/GED, 1+ years of restaurant leadership experience, Food Handlers Certification",112
"Communication, Collaboration, Holds Self Accountable, Solution Oriented, People Centric, Relevant, Initiative, Deliver, Evolve",90
"Retail experience, Management experience, Communication skills, Interpersonal skills, Written skills, Ability to lift heavy objects, Ability to work in a team environment, Health and welfare programs, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",83
"Leadership, Training, Coaching, Development, Customer Service, Merchandising, Product Knowledge, Operational Knowledge, Building Materials, Decor, Electrical, Flooring, Gardening, Hardware, Kitchen & Bath, Lumber, Millwork, Paint, Plumbing, Pro Account Sales, Tool Rental, Front End, Freight, Receiving, Associate Support, Special Services, Merchandising Execution",75
"VolunteerMatch, LinkedIn for Good",70
"Food Safety, Internal Communication, Inventory Management, Daily Maintenance and Cleanliness, Managing Crew, Quality Food Production, Exceptional Customer Service, Safety and Security, Scheduling, Training, Leadership",47
"Supervisory experience, High school education, Desire to learn and grow, Valid Driver's License",41
"Food Safety, Internal Communication, Inventory Management, Daily Maintenance and Cleanliness, Managing Crew, Quality Food Production, Exceptional Customer Service, Safety and Security, Scheduling, Training",40
Nursing,38
This context does not mention anything about technical skills frameworks languages softwares concepts and requirements so I cannot extract the requested data from the provided context.,36
"Restaurant Management, Hospitality, Guest Satisfaction",35
"Physician, Obstetrics, Gynecology",33
"Retail experience, Management experience, Communication skills, Interpersonal skills, Written skills, Ability to lift heavy objects, Ability to work in a team, Health and welfare programs, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",32
"Customer service skills, Communication skills, Mathematical skills, Literacy skills, High school diploma",32
"Communication skills, Motivating attitude, Technical skills, Flexibility, Organization, Goaloriented, Cosmetology license, Barber license, Manager training, Incentives, Recognition, Customer base, Ongoing training",31
"Leadership, Training, Coaching, Development, Customer Service, Merchandising, Product Knowledge, Operational Knowledge",30
"Customer service, Cash register operation, Merchandising, Cleaning, Planogram implementation, Store management, Communication, Safety, Mathematical calculations, Cash handling, Driving, High school diploma, Supervisory experience, Walking, Standing, Bending, Stooping, Kneeling, Lifting, Climbing, Fastpaced environment, Noise, Weather conditions, Driving",29
"Restaurant Management, Hospitality, Customer Service",29
"Teamwork, Positive attitude, Adaptability, Willingness to learn, Passion for maintaining a healthy and safe environment",29
"Flexible schedules, Free Employee Meal, Weekly pay, Anniversary pay, Paid Sick Leave, Paid Family and Medical Leave, Medical/dental insurance, Ongoing training, Discounts on cellphones travel electronics, 401(k) savings plan, Management career advancement opportunities",28
"Customer service, Communication, Mathematical skills, Literacy skills, High school diploma",26
"Communication skills, Motivating attitude, Technical skills, Flexibility, Organization, Goaldriven, Cosmetology license, Barber license, Manager training, Incentives, Recognition, Customer base, Ongoing training",26
"Retail experience, Management experience, Communication skills, Interpersonal skills, Written skills, Ability to lift bend and transport merchandise, Ability to work in a team environment, Health and welfare programs, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",25
"Leadership, Training, Coaching, Development, Customer Service, Merchandising, Product Knowledge, Operational Knowledge, Store Management, Operations Management, Building Materials, Decor, Electrical, Flooring, Gardening, Hardware, Kitchen & Bath, Lumber, Millwork, Paint, Plumbing, Pro Account Sales, Tool Rental, Front End, Freight, Receiving, Associate Support, Special Services, Merchandising Execution",25
"Social Work Qualification, Understanding of relevant legislation, Continual professional development, Social Work England registered",24
"Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, Food Handlers Certification, High school diploma/GED, 1+ years of restaurant leadership experience",21
"Meat searing, Meat seasoning, Meat cooking, Sanitation guidelines, Teamwork, Flexible work schedules, Tuition reimbursement, Competitive wages, Weekly pay, Paid vacation, Annual holiday bonus, Medical dental and vision plans, Shortterm disability, Life accidental and critical illness insurance, Identity theft protection, Employee assistance program, Employee food and corporate discounts, Opportunity for advancement",21
"Leadership, Training, Coaching, Development, Customer Service, Merchandising, Operational Knowledge, Product Knowledge",21
AppleOne,21
"ParaProfessional, Aides, Assistants",20
"Physician, Family Practice, Healthcare, Job Search, Email Alerts, Professional Profile, CV, Credentials, Medical Information, Confidentiality, Career Matching",20
"Food Safety, Internal Communication, Inventory Management, Daily Maintenance, Cleanliness, Managing Crew, Quality Food Production, Exceptional Customer Service, Safety, Security, Scheduling, Training",19
"Food Safety, Internal Communication, Inventory Management, Daily Maintenance, Cleanliness, Managing Crew, Quality Food Production, Exceptional Customer Service, Safety and Security, Scheduling, Training, Leadership",19
Physician,19
"Healthcare staffing, Customer service, Per Diem, Travel Contracts",19
Registered Nurse,19
"Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, Food Handlers Certification, High school diploma/GED, Restaurant leadership experience",18
"Restaurant management, Staff management, Hospitality, Guest satisfaction",18
"Physician, Family Practice, Healthcare, Job Search, Email Alerts, Professional Profile, CV, Credentials, Medical Information, Confidentiality, Career Matching Support",18
Equal Opportunity Employer,17
Communication,17
"Customer service, Supervisory experience, Team environment, Training, Decision making, Goal achievement, Computer proficiency, Flexible schedule",17
Volunteer,17
"Retail experience, Management experience, Communication skills, Interpersonal skills, Written skills, Ability to lift bend and transport merchandise, Ability to work in a high energy team environment, Health and welfare programs, Employee Assistance Program, Paid Time Off, Retirement Plans, Employee Stock Purchase Program",16
"Food Safety, Internal Communication, Inventory Management, Daily Maintenance, Cleanliness, Managing Crew, Quality Food Production, Exceptional Customer Service, Safety and Security, Scheduling, Training",16
"Communication skills, Motivating attitude, Technical skills, Flexible, Organized, Goaldriven, Cosmetology license, Barber license, Manager training, Incentives, Recognition, Customer base, Ongoing training",16
"Communication skills, Motivating attitude, Technical skills, Flexible, Organized, Driven, Cosmetology license, Barber license, Manager training, Incentives, Recognition, Customer base, Ongoing training",15
"Customer service, Sales, Communication, Teamwork, Problemsolving, Retail experience, Cashiering experience, High school diploma",15
"Restaurant Management, Staff Management, Hospitality, Guest Satisfaction",15
"Physician, Anesthesiology",15
"Leadership, Food Safety, Internal Communication, Inventory Management, Daily Maintenance, Cleanliness, Managing Crew, Quality Food Production, Exceptional Customer Service, Safety, Security, Scheduling, Training",15
"Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, High school diploma/GED, Food Handlers Certification",15
"Leadership, Training, Coaching, Development, Customer Service, Merchandising, Product Knowledge, Operational Knowledge, Store Management, Operations Team, Building Materials, Decor, Electrical, Flooring, Gardening, Hardware, Kitchen & Bath, Lumber, Millwork, Paint, Plumbing, Pro Account Sales, Tool Rental, Front End, Freight, Receiving, Associate Support, Special Services, Merchandising Execution",15
"Front Counter, DriveThru, Outside Order Taker, Runner, Dining Room Attendant, Drinks, Make Up Table, Prep, Grill, Fry, Porter, Coaching, High School Diploma/GED, Restaurant Leadership Experience, Food Handlers Certification",14
"Physician, Hospitalist",14
"Customer service, Guest seating, Greeting, Reception, Reservations",14
"Physician, Gastroenterology",14
"Customer service, Retail, Cashiering, Sales, Communication, Teamwork, Problemsolving, High school diploma",14
"Physician, Pediatrics",14
"Physician, Internal Medicine, Healthcare",14
"HCPC, NHS experience, 1 year experience",13
"Leadership, Training, Coaching, Development, Customer Service, Merchandising, Product Knowledge, Operational Knowledge, Store Management, Operations Management",13
"Customer Service, Retail, Cashiering, Sales, Communication, Teamwork, Problem Solving, High School Diploma",13
"Mental Health Nursing, NMC Registration",13
"Windows Server, Active Directory, SQL Server, Office 365, Azure, Citrix, Splunk, Exchange, Windows Containers, HyperV, Automation tools, Scripting, Programming, Troubleshooting, Customer service, Monitoring systems, Prometheus, SentryOne",13
"Customer service, Cashiering, Retail, Sales, Communication, Teamwork, Problemsolving, High school diploma",13
"Guest seating, Greeting, Reception, Reservations, Customer service",13
"Physician, Family Practice, Healthcare, Job Search, Professional Profile, Confidentiality, Career Matching Support",13
"Music teaching, Volunteering, Criminal background check",13
"Product procurement, Leadership, Communication, Customer service, Culinary/food and beverage industry experience, Team education, Troubleshooting, Excel, Access, Relocation to Madison WI, US work eligibility, COVID19 Vaccination",13
EVerify,13
COVID19 vaccination,12
"Communication skills, Ability to work at heights, Ability to lift heavy objects, Valid driver's license, Ability to travel",12
"Customer service, Communication skills, Ability to work at heights, Ability to lift heavy objects, Valid driver's license, Ability to travel",12
"Food Safety, Internal Communication, Inventory Management, Daily Maintenance, Cleanliness, Managing Crew, Quality Food Production, Exceptional Customer Service, Safety, Security, Scheduling, Training, Leadership",12
Hospitality,12
"Retail experience, Leadership skills, Communication skills",12
"Communication skills, Motivating attitude, Technical skills, Flexibility, Organization, Goaloriented, Cosmetology license, Barber license",12
"Registered Nurse, Intensive Care Unit, Travel Assignment",12
"CT Technologist, Allied Health Professional, Radiology Tech",12
Volunteering,11
